parcelas;transecto;owner;institution
QDR_J19aJ24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_J25aJ30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_K01aK06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_K07aK12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_K13aK18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_K19aK24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_K25aK30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_L01aL06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_L07aL12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_L13aL18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_L19aL24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_L25aL30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_M01aM06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_M07aM12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_M13aM18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_M19aM24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_M25aM30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_N01aN06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_N07aN12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_N13aN18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_N19aN24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_N25aN30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_O01aO06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_O07aO12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_O13aO18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_O19aO24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_O25aO30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
TLO_001a006.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_007a012.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_013a018.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_019a024.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_025a030.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_031a036.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_037a042.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_043a048.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_049a054.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_055a060.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_061a066.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_067a072.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_073a078.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_079a084.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_085a090.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_091a096.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_097a102.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_103a108.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_109a114.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_115a120.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TLO_121a125.shp;NP_T-0355_dn_g_n_ch1_5.laz;Niro;INPA
TNS_001a006.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_007a012.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_013a018.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_019a024.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_025a030.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_031a036.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_037a042.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_043a048.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_049a054.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_055a060.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_061a066.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_067a072.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_073a078.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_079a084.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_085a090.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_091a096.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_097a102.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_103a108.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_109a114.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_115a120.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
TNS_121a125.shp;NP_T-0356_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_PAT_1A.shp;NP_T-0387_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_PAT_1B.shp;NP_T-0387_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_PAT_1C.shp;NP_T-0387_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_PAT_1D.shp;NP_T-0387_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_PAT_2A.shp;NP_T-0387_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_PAT_2B.shp;NP_T-0387_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_PAT_2C.shp;NP_T-0387_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_PAT_2D.shp;NP_T-0387_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_TAB_1A.shp;NP_T-0385_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_TAB_1B.shp;NP_T-0385_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_TAB_1D.shp;NP_T-0385_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_TAB_2A.shp;NP_T-0385_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_TAB_2B.shp;NP_T-0385_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_TAB_2D.shp;NP_T-0385_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_TAB_3A.shp;NP_T-0385_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_TAB_3B.shp;NP_T-0385_dn_g_n_ch1_5.laz;Niro;INPA
UNIN_TAB_3D.shp;NP_T-0385_dn_g_n_ch1_5.laz;Niro;INPA
FERN_PAR_01.shp;T_410;Fernando Espirito Santo;Lancaster University
FERN_PAR_02.shp;T_1028;Fernando Espirito Santo;Lancaster University
FERN_PAR_03.shp;T_1030;Fernando Espirito Santo;Lancaster University
FERN_PAR_04.shp;T_1029;Fernando Espirito Santo;Lancaster University
FERN_PAR_05.shp;T_410;Fernando Espirito Santo;Lancaster University
FERN_PAR_06.shp;T_1031;Fernando Espirito Santo;Lancaster University
FERN_PAR_07.shp;T_1034;Fernando Espirito Santo;Lancaster University
FERN_PAR_08.shp;T_410;Fernando Espirito Santo;Lancaster University
FERN_PAR_09.shp;T_1028;Fernando Espirito Santo;Lancaster University
FERN_PAR_10.shp;T_410;Fernando Espirito Santo;Lancaster University
APIAU_PQ044;T_422;Mariana e Tamara;Instituto Mamiraua
APIAU_PQ043;T_422;Mariana e Tamara;Instituto Mamiraua
