Parcela;Obs_parcela;N;Nome_comum;DAP;Altura;Altura_medida_estimada;Morta;Tipo;Ano;;;;;;;;;;;
TNS_001a006;NA;81;CARAIPE;39,4;25,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;82;ENVIRA PRETA;14,5;13,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;83;ARABA ROXO;21,7;18,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;84;MATAMATA AMARELO;21,0;17,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;85;CARAIPE;31,5;22,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;86;EMBAUBARANA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;87;FALSA CUPIUBA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;88;MUIRAJIBOIA AMARELA;14,4;13,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;89;SERINGA VERMELHA;28,9;21,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;90;CARDEIRO;24,3;19,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;91;ACARIQUARA ROXA;18,8;16,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;92;FALSA CUPIUBA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;93;MIRATAUA;33,3;23,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;94;DESCONHECIDA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;95;FALSA CUPIUBA;13,9;13,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;96;BREU VERMELHO;26,2;20,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;97;FALSA CUPIUBA;16,8;15,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;98;BREU MANGA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;99;SERINGARANA;13,7;13,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;100;BREU VERMELHO;13,5;13,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;101;CARAIPE;33,8;23,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;102;URUCURANA;11,1;11,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;103;GITO VERMELHO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;104;RIPEIRO VERMELHO;30,4;22,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;105;PIÃOZINHO;11,8;12,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;106;MACUCU CHIADOR;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;107;URUCURANA;14,7;14,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;108;TAQUARI VERMELHO;15,1;14,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;109;SERINGA VERMELHA;27,0;20,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;110;CARDEIRO;21,4;17,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;111;MUCURAO;14,6;13,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;112;MARUPA ROXO;10,2;10,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;113;MATAMATA AMARELO;22,2;18,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;114;CHICLETE BRAVO;15,2;14,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;115;INGA VERMELHA;25,4;20,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;116;MATAMATA AMARELO;19,6;16,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;117;CARAIPE;31,4;22,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;118;PAU RAINHA;41,4;26,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;119;ABIURANA;13,9;13,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;120;FALSA CUPIUBA;15,7;14,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;121;MATAMATA AMARELO;19,8;17,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;122;MATAMATA AMARELO;18,8;16,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;123;FAVEIRA ;37,0;25,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;123B;MUIRATINGA;11,5;11,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;123E;BUCHUCHU CANELA DE VELHO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;124;CARAPANAUBA;55,0;30,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;125;UXI AMARELO;39,0;25,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;126;GITO VERMELHO;17,8;15,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;126H;TACHI PRETO;10,5;11,0;EST;NA;NA;2015;;;;;;;;;;;
