_id;common_name;family;genus;species;suggestion
"lecythidaceae spp;lecythidaceae;lecythidaceae;tauari";tauari;lecythidaceae;lecythidaceae;lecythidaceae spp;
"lecythis aff poiteaui;lecythidaceae;lecythis;castanha jarana fg";castanha jarana fg;lecythidaceae;lecythis;lecythis aff poiteaui;lecythis poiteaui
"lecythis cf chartacea;lecythidaceae;lecythis;rosada brava";rosada brava;lecythidaceae;lecythis;lecythis cf chartacea;lecythis chartacea
"lecythis spp;lecythidaceae;lecythis;castanha jarana fm";castanha jarana fm;lecythidaceae;lecythis;lecythis spp;lecythis ampla
"lecythis spp;lecythidaceae;lecythis;castanha sapucaia";castanha sapucaia;lecythidaceae;lecythis;lecythis spp;lecythis ampla
"licania laevigata;chrysobalanaceae;licania;pajura";pajura;chrysobalanaceae;licania;licania laevigata;toulicia laevigata
"licania spp;chrysobalanaceae;licania;caraipe";caraipe;chrysobalanaceae;licania;licania spp;
"licania spp;chrysobalanaceae;licania;dima";dima;chrysobalanaceae;licania;licania spp;
"licania spp;chrysobalanaceae;licania;macucu chiador";macucu chiador;chrysobalanaceae;licania;licania spp;
"licania sprucei;chrysobalanaceae;licania;caraipe";caraipe;chrysobalanaceae;licania;licania sprucei;licania fuchsii
"licaria crassifolia;lauraceae;licaria;louro falso aritu";louro falso aritu;lauraceae;licaria;licaria crassifolia;litsea crassifolia
"licaria crassifolia;lauraceae;licaria;louro pirarucu";louro pirarucu;lauraceae;licaria;licaria crassifolia;litsea crassifolia
"licaria crassifolia;lauraceae;licaria;louro preto";louro preto;lauraceae;licaria;licaria crassifolia;litsea crassifolia
"licaria martiniana;lauraceae;licaria;louro aritu";louro aritu;lauraceae;licaria;licaria martiniana;licaria armeniaca
"licaria martiniana;lauraceae;licaria;urucurana";urucurana;lauraceae;licaria;licaria martiniana;licaria armeniaca
"licaria rodriguesii;lauraceae;licaria;louro preto";louro preto;lauraceae;licaria;licaria rodriguesii;licania rodriguesii
"licaria sp 2;lauraceae;licaria;louro preto";louro preto;lauraceae;licaria;licaria sp 2;
"mabea angularis;euphorbiaceae;mabea;abiurana abiu";abiurana abiu;euphorbiaceae;mabea;mabea angularis;
"mabea angularis;euphorbiaceae;mabea;muirajiboia amarela";muirajiboia amarela;euphorbiaceae;mabea;mabea angularis;
"mabea angularis;euphorbiaceae;mabea;taquari";taquari;euphorbiaceae;mabea;mabea angularis;
"mabea angularis;euphorbiaceae;mabea;taquari branco";taquari branco;euphorbiaceae;mabea;mabea angularis;
"mabea angularis;euphorbiaceae;mabea;taquari vermelho";taquari vermelho;euphorbiaceae;mabea;mabea angularis;
"mabea spp;euphorbiaceae;mabea;taquari";taquari;euphorbiaceae;mabea;mabea spp;
"macrolobium cf angustifolium;fabaceae;macrolobium;jatoba";jatoba;fabaceae;macrolobium;macrolobium cf angustifolium;macrolobium angustifolium
"macrolobium cf arenarium;fabaceae;macrolobium;inga vermelha";inga vermelha;fabaceae;macrolobium;macrolobium cf arenarium;macrolobium bifolium
"macrolobium cf arenarium;fabaceae;macrolobium;ingarana";ingarana;fabaceae;macrolobium;macrolobium cf arenarium;macrolobium bifolium
"macrolobium microcalyx;fabaceae;macrolobium;juraicica";juraicica;fabaceae;macrolobium;macrolobium microcalyx;aporusa microcalyx
"manilkara spp;sapotaceae;manilkara;breu vermelho";breu vermelho;sapotaceae;manilkara;manilkara spp;manilkara zapota
"manilkara spp;sapotaceae;manilkara;macaranduba";macaranduba;sapotaceae;manilkara;manilkara spp;manilkara zapota
"miconia dicrophylla;melastomataceae;miconia;buchuchu";buchuchu;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia dicrophylla;melastomataceae;miconia;buchuchu c. velho";buchuchu c. velho;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia dicrophylla;melastomataceae;miconia;buchuchu canela velho";buchuchu canela velho;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia dicrophylla;melastomataceae;miconia;buxuxu folha seri";buxuxu folha seri;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia dicrophylla;melastomataceae;miconia;macucu chiador";macucu chiador;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia gratissima;melastomataceae;miconia;buchuchu";buchuchu;melastomataceae;miconia;miconia gratissima;miconia prasina
"miconia gratissima;melastomataceae;miconia;buchuchu canela velho";buchuchu canela velho;melastomataceae;miconia;miconia gratissima;miconia prasina
